act_symbol,entry_date,expiration_date,strike,bid,ask,entry_premium,entry_iv,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,days_to_expiration,underlying_close_entry,cumulative_return,daily_return,momentum_5,momentum_20,momentum_60,momentum_120,volatility_20,volatility_60,volume_20,relative_strength_20,pct_from_high_252,pct_from_low_252,garch_vol_forecast_1m,realized_vol_21d_asof,hv_current,iv_current,moneyness_strike_over_spot,log_volume_20,pred_pct_return,decile,kelly_frac,rank
AEE,2026-08-25,2026-09-18,95.0,11.1,13.8,12.45,0.3679,0.8911,0.0163,0.0,0.0463,0.0553,24,107.3000030517578,2.0754352314956748,0.0013064518930949731,-0.02161024123969235,-0.04630698591725435,-0.006205410404467537,-0.05320743564697039,0.009952326473357491,0.013295997293206898,1568231.6,-0.07940368437049095,-0.09313722677053454,0.1033419336941676,0.18836335730706855,0.1817947518996009,0.1717,0.213,0.8853681015663653,14.265459810727663,-0.2839551444343418,5,0.012423619088714952,193
MKC,2026-08-25,2026-09-18,50.0,4.7,5.1,4.9,0.3456,0.8391,0.0485,-0.0131,0.0331,0.027,24,54.48500061035156,3.4937479754677914,-0.030516016535694246,-0.01438129859805748,0.05734527267720235,0.15020058769048616,-0.17070010439613392,0.015529544304058797,0.02003341900861839,2539998.5,0.024248574223965758,-0.23956734891802622,0.19484654459523487,0.20209663123722124,0.2820527660844024,0.2953,0.3065,0.9176837558941046,14.747674442144307,-0.28629986375160454,5,0.012423619088714952,194
EXR,2026-08-25,2026-09-18,145.0,1.6,3.4,2.5,0.1923,0.4667,0.0552,-0.0438,0.1468,0.0428,24,144.94000244140625,9.326898506898274,-0.008957248263888884,-0.013476693113365301,-0.047762985032432814,0.00436563573883153,-0.03604680863889387,0.010215918831537142,0.013660071946524148,1017341.5,-0.08085968348566941,-0.051750103671912386,0.14405240862190832,0.23089863617733833,0.23536937615140338,0.2086,0.2307,1.0004139475478344,13.83270439316271,-0.28814455788656124,5,0.012423619088714952,195
ECL,2026-08-25,2026-09-18,250.0,38.0,41.0,39.5,0.3121,0.9664,0.003,-0.0282,0.0518,0.1579,24,287.92999267578125,8.228921945236038,0.003310271284010735,0.02832140241350456,0.017780130391721993,0.12472653388977051,-0.03340275293383865,0.01122233237548361,0.014957970584925907,1411538.9,-0.015316568061514602,-0.0662234896174421,0.17173319367584577,0.22713213051517997,0.24495749463004665,0.2266,0.2292,0.8682666146611142,14.160191794076367,-0.2881669500254562,5,0.012423619088714952,196
GIS,2026-08-25,2026-09-18,32.5,7.1,7.9,7.5,0.503,0.9523,0.0197,-0.0158,0.0103,0.0199,24,39.73500061035156,1.6048061487496195,-0.028958885914444177,0.04346110030770012,0.05537845949460385,0.1752439809641988,-0.08780993210171861,0.021028826573266615,0.022952906808362837,7877774.3,0.022281761041367254,-0.22255918341147826,0.2351570678269102,0.2945853188863525,0.3217817601241363,0.3417,0.3008,0.817918698899762,15.879556099638583,-0.2882056611013575,5,0.012423619088714952,197
MTB,2026-08-25,2026-09-18,230.0,10.6,13.3,11.95,0.2415,0.7584,0.0209,-0.1009,0.1908,0.1116,24,241.30999755859372,2.2128380633246025,-0.0019851761481752828,-0.04051690831573074,-0.04473299958218202,0.1166072688772879,0.10066589815934734,0.010947665228779567,0.013892185508266462,915898.5,-0.07782969803541862,-0.05029713472978291,0.3508928565327056,0.2063086991285224,0.20250501201953341,0.2088,0.2181,0.9531308372093142,13.727661921479804,-0.28916402218493775,5,0.012423619088714952,198
VRSK,2026-08-25,2026-09-18,160.0,27.4,30.6,29.0,0.4539,0.9249,0.0062,-0.0557,0.0662,0.0955,24,188.69000244140625,6.988518608940972,-0.004537064608312047,0.05495919600531285,-0.1110430258899806,0.07829016811350042,-0.12473327377889876,0.025579911568530365,0.02402472803411842,1474985.25,-0.1441397243432172,-0.3089037714352651,0.20307323927054347,0.2658213212612649,0.416135116037037,0.4205,0.3379,0.8479516557835897,14.204159225678708,-0.2912329733199507,5,0.012423619088714952,199
MCO,2026-08-25,2026-09-18,440.0,70.3,79.09,74.695,0.2969,0.9807,0.0011,-0.0556,0.0584,0.2823,24,513.5499877929688,8.327387758081258,0.00430230109160834,0.05714398970698431,0.06061539621231593,0.1330391346783646,0.09031650526601687,0.011805131973528447,0.01748111717342738,714994.7,0.027518697759079336,-0.048294135145804135,0.24578505714374338,0.25942771673826565,0.2608745209613758,0.254,0.234,0.8567812490677743,13.480031807672047,-0.29307459718252094,5,0.012423619088714952,200
HIG,2026-08-25,2026-09-18,130.0,7.8,9.5,8.65,0.2279,0.8528,0.0282,-0.0378,0.0805,0.0717,24,138.42999267578125,1.6034980857139878,-0.003957426022922483,-0.0038141480460438526,-0.03479295465675547,0.0888853588177001,-0.026306573407419598,0.011411802659412617,0.014024300734788742,1402059.55,-0.06788965310999207,-0.04976661425385481,0.1313337037043965,0.24003285323094808,0.2283568848866154,0.2113,0.2067,0.9391028453239519,14.153453533946509,-0.29407756360262505,5,0.012423619088714952,201
AVY,2026-08-25,2026-09-18,170.0,9.3,12.3,10.8,0.2452,0.8135,0.023,-0.0325,0.1209,0.0894,24,180.0,3.2017075078560233,-0.020088205086628452,0.012886124582843328,0.06427005737225122,0.13157724091331335,-0.0384615227864179,0.01708701264019974,0.018170264961199965,826486.95,0.031173358919014627,-0.08837679016432894,0.17639374199152882,0.29212218358276604,0.3313823808417677,0.3027,0.2597,0.9444444444444444,13.624940616584604,-0.29456549801812404,5,0.012423619088714952,202
BALL,2026-08-25,2026-09-18,52.5,10.3,12.5,11.4,0.3922,0.9728,0.0083,-0.0008,0.0088,0.0334,24,64.05000305175781,6.3652176945846275,-0.005743482267993372,0.038592588835375974,-0.04245771212146443,0.17157499903010254,-0.011268844416408963,0.010371775396743417,0.014822019658607525,1791319.45,-0.07555441057470103,-0.05475205087824169,0.3800905680315217,0.2515974860490971,0.2485080956505589,0.2205,0.2344,0.8196720920930413,14.398463587427873,-0.29633889209423614,5,0.012423619088714952,203
ITW,2026-08-25,2026-09-18,230.0,49.9,54.1,52.0,0.3178,0.9903,0.0006,0.0,0.0112,0.1498,24,281.260009765625,6.348984528431507,-0.009473507046180107,-0.011944052036618968,-0.047093080783386476,0.13741512113422516,-0.020580155955582047,0.010813670901754814,0.01392827340383828,1088492.85,-0.08018977923662307,-0.0612149398006151,0.16671506707739922,0.23201352138061052,0.28257679156752613,0.2442,0.1879,0.8177486738753221,13.900305509663745,-0.29651276551788575,5,0.012423619088714952,204
MTD,2026-08-25,2026-09-18,1060.0,337.6,352.3,344.95000000000005,0.5019,0.9906,0.0001,-0.3852,0.1131,0.6836,24,1399.60498046875,25.286450208722876,0.0005110950916982215,-4.648486751857028e-05,0.008084944717195786,0.18552324498715844,0.08778149883319464,0.011303311824040495,0.016518092889275915,176382.7,-0.02501175373604081,-0.07065977721572504,0.36476255251964557,0.2529282707192265,0.26466690781366414,0.2437,0.2634,0.757356550449677,12.080417014657232,-0.30015213419048037,5,0.012423619088714952,205
