ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
APPX1,cap2000,True,2008-04-01,12.69,2031.6,0,,,,,,,0,
ASPX,cap2000,True,2015-04-06,100.45,3195.8,108,101.025,70.0,5226.0,44.0,0.4166666666666667,0.32525951557093435,0,
AZEK,cap2000,True,2020-07-17,31.93,4532.7,0,,,,,,,0,
BCR,cap2000,True,2009-10-26,75.78,7315.5,86,75.875,511.0,14310.0,61.0,0.2558139534883721,0.06896551724137928,0,
BEAT1,cap2000,True,2019-03-15,67.54,2269.9,0,,,,,,,0,
BKW,cap2000,True,2013-03-13,18.34,6425.1,146,18.325,261.0,23156.0,59.0,0.2876712328767123,0.14059797380775885,0,
CBLK,cap2000,True,2018-06-14,30.9,2087.1,0,,,,,,,0,
CZR2,cap2000,True,2018-02-07,13.55,9541.0,0,,,,,,,0,
DLPH,cap2000,True,2018-01-23,56.03,4965.0,64,56.2,261.0,8268.0,34.0,0.078125,0.07407407407407407,0,
DM,cap2000,True,2020-12-28,18.93,4291.5,148,18.5,13560.0,126312.0,124.0,0.11486486486486487,0.15015015015015007,0,
EMS,cap2000,True,2010-02-26,52.06,2257.8,32,52.15,40.0,1184.0,26.0,0.15625,0.14492753623188406,0,
ENH,cap2000,True,2015-12-21,63.08,4202.5,104,61.15,10.0,353.0,14.0,0.40384615384615385,0.20921947993771203,0,
EPZM,cap2000,True,2020-01-08,24.04,2189.4,92,24.25,915.0,20481.0,60.0,0.22826086956521738,0.2672064777327936,0,
FCS,cap2000,True,2016-01-20,20.21,2291.7,210,20.150000000000002,89.0,6943.0,51.0,0.49523809523809526,0.7508127031757938,0,
FLOW2,cap2000,True,2021-08-30,80.76,3362.0,0,,,,,,,0,
FYBR,cap2000,True,2024-01-31,24.63,6053.8,312,24.8,191.0,91504.0,186.0,0.16025641025641027,0.1873927392739274,0,
GRP1,cap2000,True,2008-03-10,48.92,6117.8,0,,,,,,,0,
GRUB1,cap2000,True,2014-06-20,34.95,2754.1,0,,,,,,,0,
HI,cap2000,True,2022-09-26,36.7,2549.1,88,37.35,0.0,1011.0,24.0,0.3522727272727273,0.3868312757201645,0,
HK1,cap2000,True,2009-12-31,23.99,7217.3,0,,,,,,,0,
INVN2,cap2000,True,2014-08-05,23.5,2072.4,0,,,,,,,0,
JAG,cap2000,True,2017-11-17,14.6,3108.8,56,14.65,13.0,938.0,18.0,0.4642857142857143,0.2182539682539683,0,
JEF1,cap2000,True,2010-11-05,25.4,4364.5,0,,,,,,,0,
KW,cap2000,True,2018-09-19,21.15,3049.9,74,20.95,52.0,5618.0,19.0,0.4189189189189189,0.1694915254237288,0,
LBPH,cap2000,True,2024-11-22,59.8,2334.9,126,57.574999999999996,255.0,25045.0,47.0,0.48412698412698413,0.23880597014925375,0,
LCINQ,cap2000,True,2015-04-22,66.45,2379.1,0,,,,,,,0,
MMP,cap2000,True,2017-04-05,76.6,17466.7,280,76.225,283.0,35268.0,157.0,0.2392857142857143,0.17848970251716256,0,
NPSP,cap2000,True,2014-08-01,27.86,2962.2,400,27.8,712.0,66897.0,254.0,0.165,0.3582311408398364,0,
NVRO,cap2000,True,2019-08-29,81.87,2528.6,280,82.39999999999999,15.0,7248.0,105.0,0.1392857142857143,0.12830188679245277,0,
NVT1,cap2000,True,2008-07-03,77.9,7709.2,0,,,,,,,0,
NVTAQ,cap2000,True,2021-09-20,30.83,6700.6,0,,,,,,,0,
PMCS,cap2000,True,2015-12-10,11.8,2345.4,180,11.85,3.0,36385.0,60.0,0.5,0.12389380530973454,0,
PNRA,cap2000,True,2010-10-27,89.52,2785.5,210,89.5,3902.0,33442.0,154.0,0.14761904761904762,0.12121212121212119,0,
