ticker,sector,close,market_cap,volatility_60,composite_score,weight
GCMG,Financial Services,13.18,2672799878.0,0.01995192021332337,0.3279894269853622,0.0038216604735095867
ODFL,Industrials,187.01,38777761880.22,0.020045759840405537,0.34913429603842505,0.003803770246522734
HAS,Consumer Cyclical,90.31,12737725814.77,0.020123224536917783,0.32071373967593164,0.0037891275679992884
KR,Consumer Defensive,57.2,35043424530.4,0.02016061761024425,0.3816714756938814,0.003782099652102429
PIPR,Financial Services,77.34,5465640305.940001,0.020301863893969877,0.34781572625199797,0.003755786426709458
LSTR,Industrials,177.46,6022446710.5,0.020324926747989563,0.27299802162507936,0.0037515247063518737
ZD,Communication Services,55.73,1910826101.84,0.020442391707656972,0.26845756381219793,0.003729967899074873
SNDR,Industrials,34.64,6072423141.36,0.0205452368030259,0.3141201987349665,0.003711296471338061
JLL,Real Estate,352.11,16199772303.33,0.020763230174424628,0.3106964042820378,0.003672331530755563
VRSN,Technology,282.2,25398000000.0,0.020782234485719028,0.4051143228884434,0.003668973367722869
HVT,Consumer Cyclical,28.01,436777464.26000005,0.020783991065504333,0.3542692647599084,0.003668663280770356
MDXG,Healthcare,4.67,680701385.56,0.02093651618246373,0.34954799462626146,0.003641936613778221
WHG,Financial Services,18.67,178170647.84,0.020956457914683865,0.28624781118159554,0.003638471022168688
CRUS,Technology,110.76,5551021056.360001,0.0209628172716503,0.28582725677935283,0.003637367242283467
CASY,Consumer Cyclical,733.49,27142734369.86,0.021089085719563132,0.30835155044240675,0.0036155889289758375
KFY,Industrials,82.04,4172308280.0000005,0.021092991571748893,0.29952004906877183,0.00361491941958581
NHC,Healthcare,220.97,3460698453.15,0.02135163088276654,0.3019643817943786,0.003571130714488785
PCRX,Healthcare,25.87,1031226990.82,0.021419708707515066,0.3298085393340352,0.00355978066233566
JBHT,Industrials,274.78,25805946938.42,0.021479251199571635,0.40746253486792944,0.003549912617596071
COKE,Consumer Defensive,188.28,12532725274.32,0.021596901031381833,0.39597072430164765,0.003530574351342306
CMCSA,Communication Services,26.33,93435600967.09,0.021667503502356487,0.2807698672708102,0.0035190701522942983
UNFI,Consumer Defensive,44.93,2719124960.2,0.021703741945106676,0.3308520450412665,0.0035131944087211232
EXEL,Healthcare,57.67,14289570177.640001,0.021708013539275935,0.36933339426081235,0.0035125030999228948
PNRG,Energy,215.52,341081952.0,0.02183727474812123,0.32722849853819913,0.003491711567920581
RICK,Consumer Cyclical,29.04,221996280.0,0.0218540940549688,0.2838403513135133,0.0034890242834174413
LOPE,Consumer Defensive,151.53,3949635056.61,0.021945105150108335,0.3290524831869374,0.003474554545458556
NTNX,Technology,67.49,18243931152.41,0.02204481724988395,0.3159607276153978,0.0034588386007271747
CALX,Technology,35.34,2225147371.26,0.022142675382866718,0.3394614236181961,0.003443552485481237
MSCI,Financial Services,551.39,40086053000.0,0.02215480607858499,0.31376887572096746,0.003441666994484697
XPO,Industrials,190.06,22253453537.9,0.02218243430657133,0.3316949227367793,0.003437380397303226
SIG,Consumer Cyclical,82.67,3251393160.61,0.022193547403530092,0.29996868873638793,0.003435659178926335
BBY,Consumer Cyclical,89.33,18734975262.34,0.022366716316296154,0.28664788430213,0.003409059415410045
GIII,Consumer Cyclical,27.62,1165303626.26,0.022371382329471376,0.2829188000043084,0.0034083483857600596
PGNY,Healthcare,27.15,2083132565.6999998,0.02243006325828528,0.3497696254071245,0.003399431556293523
BKTI,Technology,72.39,272866069.71,0.02256676605885582,0.2752582768388797,0.0033788388044175472
LUV,Industrials,38.67,18917681132.670002,0.02260777726608199,0.35084470290662034,0.0033727094863178118
CALY,Consumer Cyclical,15.57,2779408811.9700003,0.02263902590818339,0.2823952584826149,0.003368054136212318
FLXS,Consumer Cyclical,84.2,344524592.2,0.022643249169928662,0.34429133981949733,0.0033674259501210585
ULTA,Consumer Cyclical,549.23,23483685797.33,0.02265429839598112,0.3341418583949069,0.0033657835487591868
DLTR,Consumer Defensive,124.04,23273662287.960003,0.022737291395664973,0.34743051810301173,0.0033534981596098287
HCA,Healthcare,402.02,87037933030.0,0.023000806200360102,0.3324362648586278,0.0033150779231678027
JILL,Consumer Cyclical,19.84,296636073.6,0.023028794838202082,0.3170899451839534,0.0033110488579882577
MTCH,Communication Services,41.15,9446023032.75,0.023094061995822635,0.3709166751048082,0.0033016913552785672
BURL,Consumer Cyclical,255.42,16044257106.9,0.023152345431358547,0.2815445721291264,0.0032933797172272354
AXSM,Healthcare,207.82,10885781596.76,0.02328496361214968,0.3192491497051744,0.003274622461084254
LOGI,Technology,98.51,14105482585.320002,0.023331697543411842,0.31038501498027143,0.0032680633163533106
BOX,Technology,34.3,4705986513.9,0.02350013853888137,0.3825412594224447,0.003244638950690392
HLI,Financial Services,135.39,9461933235.0,0.023592441524825508,0.31405007061415807,0.003231944636575245
EVR,Financial Services,295.67,11370811221.26,0.023607808479911393,0.35951531413347254,0.003229840877214753
M,Consumer Cyclical,22.45,5905202067.3,0.023703110443819793,0.32349536827090686,0.0032168548102831673
YETI,Consumer Cyclical,40.74,2973563549.04,0.024247836421229012,0.3941494710092113,0.0031445883882290785
PJT,Financial Services,182.13,4656120302.34,0.024324059919927858,0.31732001545217065,0.0031347342960377413
VRSK,Industrials,175.49,22841078545.88,0.024462065073291735,0.3271813735681021,0.0031170493832561124
DECK,Consumer Cyclical,82.6,11267815150.199999,0.024471113223852238,0.33380208436597325,0.0031158968597944196
ANGO,Healthcare,15.22,629078960.58,0.024520389813845057,0.3363425774183235,0.0031096351007773053
DPZ,Consumer Cyclical,335.41,11095944736.35,0.024604477494494223,0.37503884387109104,0.003099007685366915
DBX,Technology,33.81,7631230925.85,0.02494784900536911,0.4112449868031735,0.003056354270601245
SAM,Consumer Defensive,162.06,1667869822.8600001,0.02507418388256556,0.37723993530624006,0.00304095500005056
NXDR,Communication Services,2.22,858803452.44,0.025320799181715467,0.305755069622533,0.0030113372134373934
CMPR,Communication Services,84.9,2067270512.4,0.025367726746731302,0.3558703018531809,0.0030057665636003365
LAZ,Financial Services,44.05,4869646976.599999,0.025420057545439512,0.32370046647045375,0.0029995787662390415
GFF,Industrials,97.33,4408534708.28,0.0260095449031797,0.368720359148584,0.0029315955021017416
DFIN,Financial Services,49.82,1224843781.06,0.02602719992848565,0.37527847422045724,0.0029296069135129332
CROX,Consumer Cyclical,114.35,5482519326.25,0.02602832859152719,0.39698437772982176,0.002929479877347784
CARG,Consumer Cyclical,32.77,2918937874.0600004,0.026343799071867482,0.4324698271461315,0.0028943989681162437
NRDS,Communication Services,9.56,611105543.44,0.027054568491458545,0.4194976306921888,0.002818358196100883
FTNT,Technology,157.47,115537888937.91,0.02706951208538069,0.34091552353137655,0.0028168023350171353
KTB,Consumer Cyclical,70.73,3865650542.6000004,0.027122940450988318,0.30595175741373604,0.0028112536318714836
CPNG,Consumer Cyclical,14.81,26621148306.620003,0.027128750066753644,0.30408529237590914,0.002810651602534346
CRD.A,Financial Services,12.74,619234350.28,0.027201945310986464,0.3335371143325585,0.0028030886753925965
PBT,Energy,34.81,1622452188.76,0.027335475801327135,0.40126155951741266,0.0027893959265261076
MC,Financial Services,68.77,5382563806.36,0.02748712783964584,0.3776090882219693,0.0027740062655763217
BKNG,Industrials,180.3,135473904150.00002,0.0275270465109846,0.4085097473995411,0.002769983507654834
DXCM,Healthcare,84.53,31898305465.45,0.02760733618681948,0.30964254868882896,0.0027619276388671835
GRND,Technology,15.46,2687266893.42,0.027685457726335405,0.38617842948623776,0.0027541341596582546
CART,Consumer Cyclical,48.0,11112003216.0,0.027741440601253768,0.4125927652676266,0.0027485762526128082
DV,Technology,13.35,2069074407.45,0.027944017712770313,0.32538750983816617,0.0027286507485653777
VMD,Healthcare,8.79,334795524.11999995,0.02797502623609436,0.3975456966989437,0.002725626214122908
SAIA,Industrials,354.84,9465232806.0,0.028065622183216184,0.317772858224241,0.002716827881174629
EAT,Consumer Cyclical,222.49,9292297074.9,0.028115772572282587,0.3169231129897371,0.002711981847692281
CARS,Consumer Cyclical,11.25,602243032.5,0.02842863400651604,0.3631950096807294,0.0026821360756340944
KFRC,Industrials,51.14,915866260.0,0.028777165554907076,0.3820016119321555,0.0026496516727608304
YELP,Communication Services,20.96,1137365496.16,0.028872021638822302,0.40941346367201475,0.0026409465122922762
ETSY,Consumer Cyclical,72.82,6683546889.36,0.029011725395201894,0.4432249128640667,0.002628229235289998
BJRI,Consumer Cyclical,61.08,1299401566.2,0.029086487135763336,0.391277156409279,0.0026214738305789507
CHWY,Consumer Cyclical,23.27,9527301296.89,0.02909895892871614,0.3691251065770175,0.002620350268772968
TPR,Consumer Cyclical,117.58,23444473499.239998,0.029278077959767217,0.38338654801924166,0.002604319346189798
GRDN,Healthcare,42.45,2688880804.8,0.02930731778695557,0.34362655764907846,0.002601721024221905
SFM,Consumer Defensive,76.11,7097076738.75,0.02955649412264382,0.3153681640799003,0.0025797871876644075
MAX,Communication Services,11.77,721077021.06,0.029653652332502056,0.34031205347742005,0.002571334687373441
GCO,Consumer Cyclical,34.55,383745917.15,0.02985934789557731,0.30539078072566367,0.002553621235015945
HNGE,Healthcare,92.69,7479565511.73,0.030334525057944227,0.3228836776157288,0.002513619867270878
WRLD,Financial Services,192.0,895330560.0,0.03033932275803074,0.37683114072047724,0.002513222376715441
PINS,Communication Services,20.14,11405544363.78,0.03039669649702222,0.3880153126233015,0.0025084786715998753
EXPE,Industrials,274.55,32951310620.65,0.03049545966402276,0.3167350699355342,0.002500354665577668
HALO,Healthcare,108.31,12292968380.0,0.0308460438331684,0.3357452620829769,0.0024719366043267016
HCKT,Technology,11.28,280622407.44,0.03087748805415584,0.3474726249097572,0.0024694192971961132
CBRL,Consumer Cyclical,52.76,1179263029.6,0.030916298078982555,0.33700362876921464,0.0024663193715844856
QCOM,Technology,174.09,182794500000.0,0.030926113332683528,0.30627889664270325,0.002465536617215085
RELY,Technology,24.83,5256115060.82,0.03116971430391222,0.31897909954459497,0.0024462676849208256
FTDR,Consumer Cyclical,81.04,5583114328.64,0.031225467375392228,0.34428576231978975,0.00244189987401004
NATR,Consumer Defensive,13.82,243170086.4,0.03127889047504243,0.3254816760564909,0.002437729206242615
FLWS,Consumer Cyclical,3.65,233959462.95,0.03131536591727599,0.3348523227030323,0.0024348897934419397
APPF,Technology,206.015,7296431606.879999,0.031427070120660316,0.3632767625570931,0.0024262352346917666
ANIK,Healthcare,21.04,281577604.64,0.03143719963916302,0.3147064390657095,0.0024254534667549335
WK,Technology,73.71,4011039330.4799995,0.031469560267348796,0.3156157672304522,0.0024229593360091347
ADBE,Technology,257.26,102260850000.0,0.031568843411108306,0.36650712442967187,0.002415339195576755
KROS,Healthcare,11.17,221469689.96,0.031662158505435224,0.3635776442806499,0.002408220678851875
YEXT,Technology,6.38,631484131.52,0.03168005047287846,0.29964757148742494,0.002406860586132988
OOMA,Communication Services,22.86,630936000.0,0.03168023107174472,0.35399028680576927,0.002406846865390481
SMTI,Healthcare,35.05,322040626.75,0.031977525334545565,0.3451556577350852,0.0023844704695613833
BCRX,Healthcare,9.065,2316425726.825,0.032198549150900535,0.3021933124379462,0.0023681025033931483
REAL,Consumer Cyclical,9.78,1189943504.6999998,0.03278379887287112,0.3320354120840692,0.00232582761825604
NP,Financial Services,32.05,4398320534.5,0.032804531738438426,0.4363763041009911,0.002324357666734509
TCMD,Healthcare,21.73,492234174.78000003,0.03286488567994706,0.3239121957990943,0.0023200891551069503
THC,Healthcare,259.06,20859252140.0,0.03300858936643248,0.38755087846729924,0.002309988591254841
NPCE,Healthcare,14.76,506626284.24,0.03301809212192002,0.3159126339565144,0.0023093237661437884
RSI,Consumer Cyclical,27.02,6262516133.16,0.03308317653953841,0.28466623955847214,0.0023047806415670974
