ticker,sector,close,market_cap,volatility_60,composite_score,weight
WMK,Consumer Defensive,70.87,1753649589.39,0.01678204186687152,0.27078531810996176,0.006085720089319017
USFD,Consumer Defensive,103.09,22301534234.07,0.017459758672950212,0.2996288349458722,0.0058494971919194096
LNTH,Healthcare,100.44,6555956742.36,0.01759462143196337,0.29191717369836323,0.005804660800685163
TTC,Industrials,94.75,8969355065.5,0.018062530244368595,0.29768674287466274,0.005654291394798047
PBI,Industrials,16.99,2329162701.8799996,0.018158194780281214,0.27691664680610206,0.005624502356364256
WMT,Consumer Defensive,106.05,841373788858.0499,0.018177245883855057,0.29832583318986516,0.005618607460205229
WSM,Consumer Cyclical,227.83,26833628984.59,0.01851717703802105,0.311039556850469,0.005515463243630987
BJ,Consumer Defensive,89.85,11349375076.199999,0.018675945908332933,0.28852983540525823,0.005468574916114078
NGVT,Basic Materials,69.15,2377233306.3,0.018687867143713618,0.26803833904728286,0.005465086440502037
COLM,Consumer Cyclical,57.71,2954359225.7400002,0.01872867731317712,0.30466923605122787,0.005453177905796671
RL,Consumer Cyclical,347.23,20688740847.97,0.019160847260769276,0.2899398395141383,0.005330182321223328
IDXX,Healthcare,520.21,40982724354.36,0.019785341043266638,0.2871142712287051,0.005161943335001044
GCMG,Financial Services,13.18,2672799878.0,0.01995192021332337,0.32256006834419576,0.005118846117919644
ODFL,Industrials,187.01,38777761880.22,0.020045759840405537,0.34038933433441076,0.005094883413855498
HAS,Consumer Cyclical,90.31,12737725814.77,0.020123224536917783,0.31543405875221964,0.005075270573145227
KR,Consumer Defensive,57.2,35043424530.4,0.02016061761024425,0.38064047690471453,0.005065857172803918
PIPR,Financial Services,77.34,5465640305.940001,0.020301863893969877,0.3404104155584894,0.0050306124532412035
SNDR,Industrials,34.64,6072423141.36,0.0205452368030259,0.30926978630223595,0.004971021278955081
JLL,Real Estate,352.11,16199772303.33,0.020763230174424628,0.29928449620688025,0.004918830474403436
VRSN,Technology,282.2,25398000000.0,0.020782234485719028,0.40302115163310814,0.004914332450593523
CRUS,Technology,110.76,5551021056.360001,0.0209628172716503,0.27852000558077045,0.00487199826271121
CASY,Consumer Cyclical,733.49,27142734369.86,0.021089085719563132,0.3018447867670574,0.0048428277397664496
KFY,Industrials,82.04,4172308280.0000005,0.021092991571748893,0.29019073060655426,0.004841930978904042
NHC,Healthcare,220.97,3460698453.15,0.02135163088276654,0.29111159719715696,0.00478327908016831
PCRX,Healthcare,25.87,1031226990.82,0.021419708707515066,0.32938662132693125,0.004768076481506045
JBHT,Industrials,274.78,25805946938.42,0.021479251199571635,0.40377540820296337,0.004754858927812606
COKE,Consumer Defensive,188.28,12532725274.32,0.021596901031381833,0.39609005281424975,0.004728956676729198
CMCSA,Communication Services,26.33,93435600967.09,0.021667503502356487,0.27550077774173587,0.004713547609114516
UNFI,Consumer Defensive,44.93,2719124960.2,0.021703741945106676,0.3232482086574009,0.004705677462776838
EXEL,Healthcare,57.67,14289570177.640001,0.021708013539275935,0.36419640933944536,0.0047047515031363564
LOPE,Consumer Defensive,151.53,3949635056.61,0.021945105150108335,0.3255676249001839,0.004653922076491332
NTNX,Technology,67.49,18243931152.41,0.02204481724988395,0.3096715857479209,0.004632871670984274
CALX,Technology,35.34,2225147371.26,0.022142675382866718,0.33560460868060005,0.004612396991920783
MSCI,Financial Services,551.39,40086053000.0,0.02215480607858499,0.3110016909621546,0.004609871508996564
XPO,Industrials,190.06,22253453537.9,0.02218243430657133,0.3234678206105015,0.004604129912773259
SIG,Consumer Cyclical,82.67,3251393160.61,0.022193547403530092,0.2964197702340036,0.00460182446149947
BBY,Consumer Cyclical,89.33,18734975262.34,0.022366716316296154,0.27815752268555854,0.004566195944220985
GIII,Consumer Cyclical,27.62,1165303626.26,0.022371382329471376,0.27353742352329985,0.004565243569882975
PGNY,Healthcare,27.15,2083132565.6999998,0.02243006325828528,0.34831246341582756,0.00455330010232082
LUV,Industrials,38.67,18917681132.670002,0.02260777726608199,0.3464320433000306,0.004517507764119638
CALY,Consumer Cyclical,15.57,2779408811.9700003,0.02263902590818339,0.270077870246998,0.004511272249222318
ULTA,Consumer Cyclical,549.23,23483685797.33,0.02265429839598112,0.3296533093220897,0.004508230956608696
DLTR,Consumer Defensive,124.04,23273662287.960003,0.022737291395664973,0.3492297996963014,0.0044917755396531
HCA,Healthcare,402.02,87037933030.0,0.023000806200360102,0.33298421320160065,0.004440314328087067
MTCH,Communication Services,41.15,9446023032.75,0.023094061995822635,0.368936152946064,0.00442238395945619
AXSM,Healthcare,207.82,10885781596.76,0.02328496361214968,0.31277697433858515,0.004386127074543625
