ticker,n,incoherence_before,incoherence_after,f_min,f_max
DXC,2366,0.2802197802197802,0.0,0.8273830111576546,1.0088379705400983
EA,5178,0.8188489764387794,0.0,0.952001029468537,1.00044310964502
EDS,666,0.6336336336336337,0.0,0.9754270426013583,1.000813449023861
EKDKQ,1930,0.33575129533678755,0.0,0.9204920913884006,1.0243902439024388
EMC,825,0.0,0.0,1.0,1.0
EOP,278,0.7050359712230215,0.0,0.9664224275246893,1.0024558861061759
EP,1125,0.0,0.0,1.0,1.0
EQ,1980,0.0,0.0,1.0,1.0
ESRX,3265,0.0,0.0,1.0,1.0
ETFC,3714,0.7073236402800216,0.0,0.9392301038062283,1.0050797141286423
EVHC,1300,0.0,0.0,1.0,1.0
FB,295,0.0,0.0,1.0,1.0
FDC,951,0.0,0.0,1.0,1.0
FDO,2392,0.862876254180602,0.0,0.8625126441432329,1.0009872297060602
FISV,5197,0.0,0.0,1.0,1.0
FL,4950,0.8949494949494949,0.0,0.5761423550087873,1.0086083213773314
FLIR,3868,0.9343329886246122,0.0,0.8624748490945675,1.0033215557055326
FMC,5197,0.9667115643640561,0.0,0.624358316221766,1.0071428571428571
FMCC,5197,0.0973638637675582,0.0973638637675582,1.0,1.0
FNMA,5197,0.09601693284587262,0.09601693284587262,1.0,1.0
FOSL,5197,0.0,0.0,1.0,1.0
FTI,2419,0.656056221579165,0.0,0.7313643776046385,1.0069286326355735
GAS,2642,0.9829674489023467,0.0,0.6298490776970375,1.0003031681067152
GGP,3185,0.9802197802197802,0.0,0.5581027667984189,1.0025504289357756
GMCR,2558,0.6485535574667709,0.0,0.9600233781414377,1.0001359685859144
GNW,5197,0.11891475851452761,0.11891475851452761,1.0,1.0
GR,1653,0.8802177858439202,0.0,0.8975310803913119,1.000196610436082
GT,5197,0.666538387531268,0.0,0.865258855585831,1.0103343465045593
HAR,2816,0.9055397727272727,0.0,0.9095844643975778,1.0003604902667629
HBI,4839,0.8363298202107874,0.0,0.7311491206938088,1.0115183246073298
HCBK,2475,0.9074747474747474,0.0,0.7386687848412712,1.0052565707133916
HCP,806,0.0,0.0,1.0,1.0
HES,4916,0.9495524816924329,0.0,0.7829479373692124,1.0049354780526998
HET,520,0.7653846153846153,0.0,0.9629129193316195,1.001700680272109
HMA,378,0.0,0.0,1.0,1.0
HNZ,1869,0.9614767255216693,0.0,0.768750923872875,1.0002767400027675
HOLX,5095,0.0,0.0,1.0,1.0
HOT,2700,0.9777777777777777,0.0,0.591379426332225,0.9978895257946848
HPC,723,0.43568464730290457,0.0,0.9831360231940082,1.0039097744360903
HSH,2179,0.9261128958237723,0.0,0.21348534201954397,1.0022637238256933
HSP,2434,0.0,0.0,1.0,1.0
INFO,471,0.0,0.0,1.0,1.0
IPG,5008,0.9812300319488818,0.0,0.5983983983983985,1.0021723985052886
JNPR,4904,0.9877650897226754,0.0,0.755620515546107,1.0006264879087834
JNS,2870,0.9668989547038328,0.0,0.8059945504087194,0.999825814318063
JNY,2080,0.7961538461538461,0.0,0.8337312930889524,1.0006863417982155
JOY,2834,0.8249823570924488,0.0,0.8641757816281096,1.0134959969500572
JWN,4876,0.9733388022969647,0.0,0.5777346592287169,1.0004118616144975
K,5018,0.9844559585492227,0.0,0.5040255445318736,1.0007834629060446
KATE,2900,0.21689655172413794,0.0,0.948756906077348,1.025347506132461
KG,317,0.0,0.0,1.0,1.0
KRFT,702,0.8361823361823362,0.0,0.907905442550852,1.001963955637708
