ticker,src,n,med_o_c,min_o_c,max_o_c,frac_close_outside_lowhigh
ADEA,local,5201,1.0,0.7939763349424079,1.6375267662777524,0.0
ADI,local,5201,0.9997359830521467,0.8444794737747184,1.0886075949367089,0.0
ADM,local,5201,0.9995673705827014,0.9033149191647752,1.1693766984362841,0.0
ADP,local,5201,0.9992344323104998,0.895096449523963,1.09195397634742,0.0
ADPT,local,1808,1.0014413359522352,0.8248337477058951,1.2718204972729197,0.0
ADSK,local,5201,0.9989380287913093,0.9034265659844053,1.166168279154366,0.0
ADUS,local,4239,0.9999130324663533,0.7843526085792466,1.2334194761658221,0.0
AEE,local,5201,0.999513891876203,0.8715406996613173,1.1361830550336,0.0
AEHR,local,5201,1.0,0.6774595564286023,1.3389831467354283,0.0
AEIS,local,5201,1.0,0.8333333132644296,1.191561224175545,0.0
AEO,local,5201,1.000320992830089,0.8320610742595089,1.1728506619405847,0.0
AEP,local,5201,0.9995383622063134,0.883596200465345,1.1329601176453754,0.0
AES,local,5201,1.0,0.8066038351204982,1.1663179005359627,0.0
AFG,local,5201,0.9994447402135066,0.7055531516411984,1.2099643963855948,0.0
AFL,local,5201,0.9995265603439611,0.7652091103089288,1.4065502017916585,0.0
AFRM,local,1418,1.0011110316117926,0.783813726481145,1.282208545883956,0.0
AGCO,local,5201,0.9995668391686326,0.8142889776396145,1.2025009425179463,0.0
AGIO,local,3300,0.9995584649482274,0.790709143434121,1.1945555608042566,0.0
AGM,local,5201,1.0,0.6551723840262188,2.3202702506778015,0.0
AGNC,local,4606,1.0,0.8881957818308023,1.1500513984414236,0.0
AGX,local,5201,1.0,0.625,1.327868935754947,0.0
AGYS,local,5201,1.0,0.7150684457264613,1.5683333079020183,0.0
AHR,local,647,0.9981294872527837,0.9247163794235048,1.0608365181705062,0.0
AIG,local,5201,1.000313585107345,0.49333333333333335,1.6132931718298766,0.0
AIR,local,5201,0.9998530651671687,0.7360248026401377,1.3887712118039024,0.0
AIT,local,5201,0.9996590894786608,0.8549775079759366,1.2844208853432728,0.0
AIZ,local,5201,0.9994626080420894,0.8113813475141795,1.231163653444615,0.0
AJG,local,5201,0.9993048155215348,0.8472923706469931,1.1376693172436507,0.0
AKAM,local,5201,0.9997263357992346,0.8493306129421091,1.2002189515165542,0.0
AKR,local,5201,0.9996370845078009,0.8219936757210143,1.2031088202722116,0.0
ALAB,local,618,0.9990347652843006,0.8349411908318015,1.22943714960842,0.0
ALB,local,5201,0.9994829250877487,0.8379361194984963,1.18439718124224,0.0
ALG,local,5201,1.0,0.8253012228926527,1.1473281904809327,0.0
ALGM,local,1469,1.0008628325064866,0.8136030990515807,1.193223410433651,0.0
ALGN,local,5201,0.9997815827690888,0.8184615648709811,1.2125534554163393,0.0
ALGT,local,4965,1.00023925152702,0.803921568627451,1.2645553327516346,0.0
ALH,local,228,1.0003770825305136,0.9396914892478678,1.1395592823685625,0.0
ALHC,local,1368,0.9989327858670523,0.7937499565382816,1.1947079123731883,0.0
ALK,local,5201,1.0,0.6856383439586861,1.2162162005422412,0.0
ALKT,local,1356,0.9994972412100991,0.8424836720674344,1.1341542225459236,0.0
ALL,local,5201,0.9996029291604567,0.828951858235487,1.2550066629877838,0.0
ALLE,local,3210,0.9995345921669607,0.9235379043271706,1.1623612406110737,0.0
ALLY,local,3171,1.0,0.8879336249452479,1.232576973263424,0.0
ALM,local,3326,1.0,0.7300683484700871,1.220095707122112,0.0
ALMR,local,98,1.0018865988477532,0.7929997331693823,1.108695724786169,0.0
ALMS,local,549,1.0010256645007012,0.7184959412629671,1.4249999523162842,0.0
ALNY,local,5201,1.0,0.7150313109796584,1.2100450138899417,0.0
ALRM,local,2815,0.9993783210208703,0.8559722083156232,1.2175627844145687,0.0
ALSN,local,3640,0.9996586676815287,0.8964767644862465,1.1039230013975627,0.0
AM,local,2348,1.0,0.8076923121009354,1.2979797517605045,0.0
AMAT,local,5201,0.9996635751470647,0.8654244675652636,1.1221303840014614,0.0
AMBA,local,3495,0.9998606556645226,0.7912587060013812,1.2909437887404567,0.0
AMCR,local,3590,1.0,0.8654105035092133,1.0810502123035832,0.0
AMD,local,5201,1.0014236685245212,0.7994987592972042,1.1839623235646188,0.0
AME,local,5201,0.9996344287083916,0.8996108786112483,1.1158276830725138,0.0
AMG,local,5201,1.0,0.8220157389667242,1.210058141833918,0.0
AMGN,local,5201,1.0,0.9207626565613997,1.1040406378817238,0.0
AMH,local,3294,0.9996863469330857,0.9187203100311616,1.1004126576325595,0.0
AMKR,local,5201,1.0,0.7939698670067625,1.3045976830372992,0.0
AMLX,local,1169,0.9996446258316012,0.8129692940297123,1.5059338079744324,0.0
AMP,local,5201,0.9991197775104546,0.7742843929381735,1.2791262084233885,0.0
AMR,local,1401,0.9992329639777879,0.8636425712977462,1.1913297827396172,0.0
AMRX,local,2095,1.0006998060817727,0.85638298850461,1.2805194676515523,0.0
AMT,local,5201,0.9997192172793322,0.8512922533659774,1.1088971450314145,0.0
AMTM,local,489,1.0028536360727591,0.813953488372093,1.125058136003444,0.0
AMZN,local,5201,0.9999580754838583,0.8618839104323194,1.1367704875869111,0.0
AN,local,5201,0.9998473112022811,0.8241758004232191,1.2046511450479196,0.0
ANDE,local,5201,1.0,0.6385696103089393,1.1737313341738573,0.0
ANDG,local,180,0.9931006507598448,0.8881889686913221,1.128135243288868,0.0
ANET,local,3081,0.9989493479200868,0.8772187302815904,1.108793245225018,0.0
ANF,local,5201,1.0,0.8211137506700135,1.1871837972082164,0.0
AON,local,5193,0.999252273676582,0.9074319697742895,1.1768034022568765,0.0
AOS,local,5201,0.9995951324464394,0.8843142934691363,1.102017989933689,0.0
APA,local,5201,1.0003499030408864,0.8210652913666387,1.4052355820174374,0.0
