n_windows,years,model_mult,spy_mult,mult_ratio,model_cagr,spy_cagr,excess_cagr,mean_excess,t_excess,win_rate,sharpe,info_ratio,vol_ann,max_dd,skew,kurt,mean_exposure,mean_turnover,mean_n,mean_ic,t_ic,n_ic,decile_volq_excess,t_decile,n_decile,cell_id,sig_features,sig_horizon,sig_label,sig_label_basis,sig_model,sig_depth,sig_eta,sig_rounds,sig_train,sig_train_cap,sig_universe,sig_cap_tier,sig_step,sig_seed,prt_top_n,prt_weighting,prt_bucket,prt_cost_bps,prt_cost_model,prt_untradable,sig_shuffle_col,sig_shuffle_seed,sig_train_exclude,null_p50,null_p95,null_pctile,vs_null
82,13.02,5.677995561009669,2.142442100631625,2.6502445780615065,0.14266610934139212,0.06026048372405235,0.08240562561733977,0.013695467739194153,2.1519143692627454,0.6219512195121951,0.7488853887174359,0.5963414190270512,0.20890210808725848,-0.396702584026682,-0.4126927410389277,2.6314646769956758,1.0,0.9463414634146342,5.0,0.0035702912657076175,0.164939652362306,82,0.006544025678147409,2.168377204907339,82,pf_volatility_60_ind_rel_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufvolatility_60_ind_rel7,pf_volatility_60_ind_rel,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,volatility_60_ind_rel,7.0,,,,,
82,13.02,5.666885223318332,2.142442100631625,2.645058749381207,0.14249424565641,0.06026048372405235,0.08223376193235765,0.013942755564816335,2.085001994101214,0.5975609756097561,0.7182259639893261,0.5777985711683008,0.21998784224097775,-0.36580983119197585,0.12642274634087647,3.2084553351923484,1.0,0.9439024390243902,5.0,0.0028533918107814553,0.13223694508082567,82,0.00569014394648222,1.9556492491159692,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens4,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,4.0,,,,,
82,13.02,5.664854902102776,2.142442100631625,2.644111082597139,0.14246280539340983,0.06026048372405235,0.08220232166935748,0.01401305564929936,2.009051969866204,0.5609756097560976,0.7119963480981829,0.5567511977809657,0.2225344001282754,-0.36580983119197574,0.18175618574657917,3.2121976811426776,1.0,0.9390243902439024,5.0,0.003138225887435197,0.14535280085228705,82,0.005901392352937001,2.0090538997280336,82,pf_gross_margin_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufgross_margin_delta5,pf_gross_margin_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,gross_margin_delta,5.0,,,,,
82,13.02,5.651557113247346,2.142442100631625,2.6379042456182034,0.14225662672345973,0.06026048372405235,0.08199614299940738,0.014799791932384525,2.0638077167829643,0.573170731707317,0.6714014831137379,0.571925184386861,0.2433685245143228,-0.4141973295173563,-0.055785056903409354,3.329126230744044,1.0,0.9463414634146341,5.0,0.004446167731041859,0.20514273785474732,82,0.006593707707847432,2.2443081061410437,82,pf_upside_vol_ratio_120_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,pf_upside_vol_ratio_120,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,0.0,,,,,
82,13.02,5.633778952102134,2.142442100631625,2.6296061631916254,0.1419802803172192,0.06026048372405235,0.08171979659316686,0.014191512574416294,2.13762087872457,0.5487804878048781,0.6961821219825632,0.5923803876067789,0.22920363873488306,-0.4113077308396025,0.08942598002587158,2.7800091524668304,1.0,0.9414634146341464,5.0,0.005221719650737809,0.24190994834579357,82,0.006265447196007496,2.1924708933540753,82,pf_filed_item402_240d_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,pf_filed_item402_240d,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,0.0,,,,,
82,13.02,5.605403678713221,2.142442100631625,2.6163618036915257,0.14153753841557126,0.06026048372405235,0.08127705469151891,0.014451671938715901,1.9077410295274684,0.6341463414634146,0.6852306933644567,0.528675773039383,0.2352576681394171,-0.4870307994509947,-0.32293379080764206,2.689280196045995,1.0,0.9512195121951219,5.0,0.0021190703369739386,0.09901031956583894,82,0.004684919146267054,1.6525137141198765,82,pf_days_to_next_filing_est_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,pf_days_to_next_filing_est,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,0.0,,,,,
82,13.02,5.5686844400067885,2.142442100631625,2.5992228393780414,0.14096152351760893,0.06026048372405235,0.08070103979355658,0.01370752929944955,2.012321243240424,0.573170731707317,0.7115418047499986,0.5576571832379229,0.21997258705053147,-0.3567623526166779,0.20411815546764162,3.115825034339839,1.0,0.9414634146341462,5.0,0.002704633383196775,0.12586014165832768,82,0.005500093505671413,1.8824407511751176,82,pf_roe_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufroe_delta4,pf_roe_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,roe_delta,4.0,,,,,
82,13.02,5.564975787293223,2.142442100631625,2.5974917994995437,0.14090315104605056,0.06026048372405235,0.08064266732199821,0.014030571256067447,2.0303364051173425,0.6219512195121951,0.6912193119021499,0.5626495692506454,0.2293830313728185,-0.36580983119197585,0.17216488655150788,3.1534706154907424,1.0,0.9463414634146341,5.0,0.002867014025090174,0.13299252512068926,82,0.005250554851710467,1.8138005866653197,82,pf_roe_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufroe_delta2,pf_roe_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,roe_delta,2.0,,,,,
82,13.02,5.554783460950016,2.142442100631625,2.59273445910738,0.14074254339120595,0.06026048372405235,0.0804820596671536,0.013756499303517272,2.0078120898308116,0.6097560975609756,0.7056787741005267,0.5564076005494537,0.22223719311829132,-0.36580983119197596,0.20584207657178688,3.4487701054186832,1.0,0.9414634146341462,5.0,0.0028323644167419755,0.1313358255021281,82,0.005853834024631096,1.9852152687714055,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens0,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,0.0,,,,,
82,13.02,5.5367050686826875,2.142442100631625,2.584296241681575,0.14045699901773134,0.06026048372405235,0.080196515293679,0.013879385808291483,1.9446583908000556,0.5853658536585366,0.6940532056561773,0.5389063621011454,0.227074698186894,-0.3632748029040732,0.20588054755626134,3.2450564356165685,1.0,0.9463414634146341,5.0,0.0027164612331005656,0.12607729045929228,82,0.005690241605180617,1.9624482540579715,82,pf_roe_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufroe_delta6,pf_roe_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,roe_delta,6.0,,,,,
82,13.02,5.4933616129749065,2.142442100631625,2.5640653772418767,0.13976887698154616,0.06026048372405235,0.07950839325749381,0.013583681448343375,2.042528935383734,0.5975609756097561,0.7072683523581084,0.5660283797202651,0.220199002241368,-0.373395563086919,0.03971368178775011,3.2825831292765497,1.0,0.9463414634146341,5.0,0.0027877456186196367,0.12936788000977703,82,0.005302510642985618,1.8655581235166743,82,pf_revenue_growth_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrevenue_growth_delta7,pf_revenue_growth_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,revenue_growth_delta,7.0,,,,,
82,13.02,5.461797864002509,2.142442100631625,2.549332774216996,0.13926460857990652,0.06026048372405235,0.07900412485585417,0.013695623363489269,1.9411746206539866,0.5853658536585366,0.6916302724271822,0.5379409350088107,0.22619703426430748,-0.36580983119197585,0.127976472905994,3.033905221889105,1.0,0.9414634146341462,5.0,0.003084835264291887,0.14295726542853207,82,0.005783432076509246,1.9699977812222973,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens5,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,5.0,,,,,
82,13.02,5.405819247419793,2.142442100631625,2.5232043590937994,0.13836362999759078,0.06026048372405235,0.07810314627353843,0.013611691073948329,2.020901687420271,0.5975609756097561,0.6867790522405275,0.5600350075283225,0.22702522709179143,-0.4112059873226924,0.038465577989524206,2.572936323342165,1.0,0.9512195121951219,5.0,0.0050353701701253495,0.23223844024313842,82,0.006711943425914922,2.321112311909507,82,pf_filed_item502_60d_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,pf_filed_item502_60d,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,0.0,,,,,
82,13.02,5.390961406149204,2.142442100631625,2.5162693566187224,0.13812304596558111,0.06026048372405235,0.07786256224152877,0.01304492684841729,1.9585440087253612,0.5365853658536586,0.7200514340444213,0.5427543633115659,0.21157806690282577,-0.37167472975296323,0.07926062436613221,2.3564218714810923,1.0,0.9585365853658536,5.0,0.0016006585378210004,0.07490523531856574,82,0.00585215271795165,1.9914995050380817,82,pf_rate_beta_120_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrate_beta_1202,pf_rate_beta_120,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,rate_beta_120,2.0,,,,,
82,13.02,5.285854401113134,2.142442100631625,2.4672099187907026,0.13640341669094402,0.06026048372405235,0.07614293296689167,0.013189647021473275,1.9614153998619355,0.6097560975609756,0.6887597433100284,0.5435500871049587,0.22251363724321888,-0.34731635100184743,0.015416605970514613,3.18801126076499,1.0,0.9341463414634147,5.0,0.002920320285223227,0.13541890215032268,82,0.005647565545674813,1.9226346640891543,82,pf_revenue_growth_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrevenue_growth_delta3,pf_revenue_growth_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,revenue_growth_delta,3.0,,,,,
