feature,kind,ic_marg,t_naive_marg,t_nw_marg,n_days_marg,sign_consistency_marg,ic_cond,t_naive_cond,t_nw_cond,n_days_cond,sign_consistency_cond,ic_2007,ic_2008,ic_2009,ic_2010,ic_2011,ic_2012,ic_2013,ic_2014,ic_2015,ic_2016,ic_2017,ic_2018,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
accel_20__s2,SHUFFLE CONTROL,0.00029606352886160333,0.686315797856134,0.6817939839950405,4911,0.6,0.00030558865952950786,0.6970964052235483,0.6948391535659895,4911,0.55,-0.004027316276953182,0.0021545011453224347,-8.987410408829027e-05,0.00541985960067847,-0.00017708538572948628,-0.001626297896859721,0.0006091669404836756,-0.0008873462694706024,-0.0014090911616745463,0.00038216342385142594,0.0015547571473381136,-0.0008889145108772425,0.002171613566336299,-0.0009838910390592877,-0.001644618513010836,0.0025219005567763443,1.2625971135277636e-05,2.9112330793404362e-05,0.0019009079149972298,0.001784141136340695
accel_20__s3,SHUFFLE CONTROL,0.0011222704615120424,2.5718548814409115,2.4548926852673967,4911,0.65,0.0011501589346492307,2.586297281378001,2.5082984960557964,4911,0.7,0.003371284308967636,0.00398754227485918,0.0036213743683473597,0.0004549085311862635,-0.00037756186033668254,0.003588139985440111,0.0017175606125632737,-0.0007513786476714944,-0.001302742873708208,0.0020644334209209032,0.0011993155200131504,0.00011830430026244883,0.0023704171566211185,0.001009495882684937,0.002597774808718844,-0.00032496139288934613,-0.0016666777089615588,-0.0006899112688748591,0.0008312823632304154,0.0011833265420952636
accel_20__s4,SHUFFLE CONTROL,-0.0001106178018055619,-0.25555766158785836,-0.2695441398720468,4911,0.55,-7.857809187978054e-05,-0.17897306578659455,-0.19211108112757572,4911,0.55,-0.0017159819009360771,-0.0001580676412291634,-0.0009983549544246267,-5.8904065472717746e-05,3.0212075788188694e-05,-0.0008970250052166721,0.0018296936681197504,-0.0013209123188860977,-0.0016631031768410813,-0.0010660458130608026,-0.003071992656787586,0.0022826195461183715,0.0010741325181072153,0.0018071689764913579,-0.0010744136982528529,0.0008756562161734404,0.0022254657179113227,-0.0019870950619020173,0.00209380730820199,0.0005308399522611231
effratio_20__s0,SHUFFLE CONTROL,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
effratio_20__s1,SHUFFLE CONTROL,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
effratio_20__s2,SHUFFLE CONTROL,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
effratio_20__s3,SHUFFLE CONTROL,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
effratio_20__s4,SHUFFLE CONTROL,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
momentum_20,reference,-0.0032813445892460563,-2.71401853935461,-0.6290520542781504,4911,0.55,-0.00016358965995348916,-0.31257924075536964,-0.30720652173700164,4911,0.55,0.004017173143421463,0.00105422013137452,-0.0037006894101252203,-0.0028046220508603976,0.0007885445798225438,0.001513360985395066,-0.0027643229475524463,-0.0005862483661522902,-0.003111434252887015,0.001320915180526835,-0.0013526817329779423,-0.0006968746157068828,-0.0020525155165452827,0.004900691415460141,0.0012376040837677167,-0.001617675181802445,-0.00034452862929933723,-0.0017292743978881645,0.001172013168841102,0.003009822085555522
volatility_60,reference,-0.02050183761435061,-42.175901730280195,-8.223764138735897,4911,0.95,-0.0037485782448360636,-3.2616415375168493,-0.6495215489573583,4911,0.5,-0.0014237566018938162,-0.029356759110435365,0.0647501189804223,-0.009398194199407801,0.0013430482780229735,-0.042212973172338214,0.004712074977729256,-0.017247200361161074,-0.017139069768741116,0.010386060945751957,0.015539543887349471,0.01596173088386135,0.00015876153227142116,0.03656322910310858,-0.09414674856227952,-0.049441785717074936,0.00178763504985041,-0.006049433408121403,0.04617163757273741,-0.007830090206581009
